Nome_Figura_Ed,Nome_Figura_original,x,y,NomeObj,Tipo
C;0,Push_Button_1.png,55,328,Push_Button_1.png,C
C;1,Push_Button_1.png,53,242,Push_Button_1.png,C
C;2,Push_Button_1.png,218,240,Push_Button_1.png,C
C;3,Push_Button_1.png,219,326,Push_Button_1.png,C
C;4,Push_Button_1.png,378,240,Push_Button_1.png,C
C;5,Push_Button_1.png,378,324,Push_Button_1.png,C
C;6,Push_Button_1.png,511,281,Push_Button_1.png,C
C;7,tape_horizontalop2.png,0,358,tape_horizontalop2.png,C
C;8,tape_horizontalop2.png,0,377,tape_horizontalop2.png,C
C;9,tape_horizontalop2.png,0,396,tape_horizontalop2.png,C
C;10,tape_horizontalop2.png,1,416,tape_horizontalop2.png,C
C;11,tape_horizontalop2.png,1,434,tape_horizontalop2.png,C
C;12,tape_horizontalop2.png,1,453,tape_horizontalop2.png,C
C;13,tape_horizontalop2.png,1,473,tape_horizontalop2.png,C
C;14,Tape_Ink_1.png,10,244,Tape_Ink_1.png,C
C;15,tape_horizontalop2.png,10,244,tape_horizontalop2.png,C
C;16,Tape_Ink_1.png,42,330,Tape_Ink_1.png,C
C;17,Tape_Ink_1.png,157,242,Tape_Ink_1.png,C
C;18,tape_horizontalop2.png,159,243,tape_horizontalop2.png,C
C;19,tape_horizontalop2.png,0,187,tape_horizontalop2.png,C
C;20,Tape_Ink_1.png,207,329,Tape_Ink_1.png,C
C;21,Tape_Ink_1.png,366,326,Tape_Ink_1.png,C
C;22,Tape_Ink_1.png,338,243,Tape_Ink_1.png,C
C;23,tape_horizontalop2.png,338,243,tape_horizontalop2.png,C
C;24,tape_horizontalop2.png,468,310,tape_horizontalop2.png,C
C;25,Tape_Ink_1.png,455,310,Tape_Ink_1.png,C
C;26,Tape_Ink_1.png,84,188,Tape_Ink_1.png,C
C;27,Tape_Ink_1.png,249,188,Tape_Ink_1.png,C
C;28,Tape_Ink_1.png,409,188,Tape_Ink_1.png,C
C;29,Tape_Ink_1.png,516,189,Tape_Ink_1.png,C
C;30,Tape_Ink_1.png,112,126,Tape_Ink_1.png,C
C;31,Tape_Ink_1.png,327,135,Tape_Ink_1.png,C
C;32,tape_horizontalop2.png,0,589,tape_horizontalop2.png,C
C;33,tape_horizontalop2.png,0,630,tape_horizontalop2.png,C
C;34,tape_horizontalop2.png,0,649,tape_horizontalop2.png,C
C;35,tape_horizontalop2.png,1,668,tape_horizontalop2.png,C
C;36,tape_horizontalop2.png,1,688,tape_horizontalop2.png,C
C;37,tape_horizontalop2.png,1,708,tape_horizontalop2.png,C
C;38,tape_horizontalop2.png,1,728,tape_horizontalop2.png,C
C;39,tape_horizontalop2.png,1,748,tape_horizontalop2.png,C
C;40,tape_horizontalop2.png,118,31,tape_horizontalop2.png,C
C;41,Tape_Ink_1.png,113,31,Tape_Ink_1.png,C
C;42,Tape_Ink_1.png,565,33,Tape_Ink_1.png,C
C;43,fita_Isolante.png,565,72,fita_Isolante.png,C
C;44,LED_Default_1.png,74,64,LED_Default_1.png,C
C;45,tape_horizontalop2.png,361,79,tape_horizontalop2.png,C
C;46,Tape_Ink_1.png,585,79,Tape_Ink_1.png,C
C;47,LED_Default_1.png,289,72,LED_Default_1.png,C
C;48,tape_horizontalop2.png,0,611,tape_horizontalop2.png,C
C;49,fita_Isolante.png,32,590,fita_Isolante.png,C
C;50,fita_Isolante.png,31,611,fita_Isolante.png,C
C;51,tape_horizontalop2.png,46,501,tape_horizontalop2.png,C
C;52,Tape_Ink_1.png,39,502,Tape_Ink_1.png,C
C;53,fita_Isolante.png,417,589,fita_Isolante.png,C
C;54,tape_horizontalop2.png,424,491,tape_horizontalop2.png,C
C;55,fita_Isolante.png,417,611,fita_Isolante.png,C
C;56,Tape_Ink_1.png,424,491,Tape_Ink_1.png,C
C;57,Tape_Ink_1.png,133,650,Tape_Ink_1.png,C
C;58,tape_horizontalop2.png,134,733,tape_horizontalop2.png,C
C;59,fita_Isolante.png,104,649,fita_Isolante.png,C
C;60,tape_horizontalop2.png,115,630,tape_horizontalop2.png,C
C;61,Tape_Ink_1.png,109,630,Tape_Ink_1.png,C
C;62,tape_horizontalop2.png,181,640,tape_horizontalop2.png,C
C;63,fita_Isolante.png,424,633,fita_Isolante.png,C
C;64,tape_horizontalop2.png,283,640,tape_horizontalop2.png,C
C;65,fita_Isolante.png,277,733,fita_Isolante.png,C
C;66,Tape_Ink_1.png,283,640,Tape_Ink_1.png,C
C;67,tape_horizontalop2.png,110,752,tape_horizontalop2.png,C
C;68,Tape_Ink_1.png,109,688,Tape_Ink_1.png,C
C;69,tape_horizontalop2.png,89,790,tape_horizontalop2.png,C
C;70,Tape_Ink_1.png,88,708,Tape_Ink_1.png,C
C;71,tape_horizontalop2.png,73,769,tape_horizontalop2.png,C
C;72,Tape_Ink_1.png,68,728,Tape_Ink_1.png,C
C;73,Tape_Ink_1.png,511,769,Tape_Ink_1.png,C
C;74,Tape_Ink_3.png,9,746,Tape_Ink_3.png,C
C;75,fita_Isolante.png,92,789,fita_Isolante.png,C
C;76,Tape_Ink_2.png,76,756,Tape_Ink_2.png,C
C;77,fita_Isolante.png,130,752,fita_Isolante.png,C
C;78,fita_Isolante.png,149,734,fita_Isolante.png,C
C;79,fita_Isolante.png,114,768,fita_Isolante.png,C
C;80,fita_Isolante.png,208,752,fita_Isolante.png,C
C;81,Tape_Ink_2.png,119,712,Tape_Ink_2.png,C
