Nome_Figura_Ed,Nome_Figura_original,x,y,NomeObj,Tipo
C;0,Push_Button_1.png,312,610,Push_Button_1.png,C
C;1,Push_Button_1.png,611,611,Push_Button_1.png,C
C;2,Push_Button_1.png,894,612,Push_Button_1.png,C
C;3,Push_Button_1.png,312,794,Push_Button_1.png,C
C;4,Push_Button_1.png,610,799,Push_Button_1.png,C
C;5,Push_Button_1.png,894,799,Push_Button_1.png,C
C;6,LED_Default_1.png,5,2,LED_Default_1.png,C
C;7,LED_Default_1.png,373,7,LED_Default_1.png,C
C;8,LED_Default_1.png,493,312,LED_Default_1.png,C
C;9,LED_Default_1.png,610,308,LED_Default_1.png,C
C;10,LED_Default_1.png,705,302,LED_Default_1.png,C
C;11,LED_Default_1.png,815,324,LED_Default_1.png,C
C;12,LED_Default_1.png,930,326,LED_Default_1.png,C
C;13,Tape_Ink_1.png,643,581,Tape_Ink_1.png,C
C;14,LED_Default_1.png,1032,318,LED_Default_1.png,C
C;15,LED_Default_1.png,3,227,LED_Default_1.png,C
C;16,LED_Default_1.png,91,515,LED_Default_1.png,C
C;17,Tape_Ink_1.png,343,582,Tape_Ink_1.png,C
C;18,tape_horizontalop2.png,1,613,tape_horizontalop2.png,C
C;19,tape_horizontalop2.png,1,634,tape_horizontalop2.png,C
C;20,tape_horizontalop2.png,1,655,tape_horizontalop2.png,C
C;21,tape_horizontalop2.png,1,676,tape_horizontalop2.png,C
C;22,tape_horizontalop2.png,1,697,tape_horizontalop2.png,C
C;23,fita_Isolante.png,343,634,fita_Isolante.png,C
C;24,tape_horizontalop2.png,1,721,tape_horizontalop2.png,C
C;25,Tape_Ink_1.png,597,612,Tape_Ink_1.png,C
C;26,tape_horizontalop2.png,288,649,tape_horizontalop2.png,C
C;27,Tape_Ink_1.png,272,635,Tape_Ink_1.png,C
C;28,tape_horizontalop2.png,1,581,tape_horizontalop2.png,C
C;29,fita_Isolante.png,643,668,fita_Isolante.png,C
C;30,Tape_Ink_1.png,925,581,Tape_Ink_1.png,C
C;31,Tape_Ink_1.png,880,613,Tape_Ink_1.png,C
C;32,tape_horizontalop2.png,250,678,tape_horizontalop2.png,C
C;33,Tape_Ink_1.png,242,656,Tape_Ink_1.png,C
C;34,tape_horizontalop2.png,218,798,tape_horizontalop2.png,C
C;35,Tape_Ink_1.png,217,678,Tape_Ink_1.png,C
C;36,Tape_Ink_1.png,176,698,Tape_Ink_1.png,C
C;37,tape_horizontalop2.png,178,827,tape_horizontalop2.png,C
C;38,Tape_Ink_1.png,596,800,Tape_Ink_1.png,C
C;39,tape_horizontalop2.png,143,851,tape_horizontalop2.png,C
